,number,name,group,subtopic,item_stem,responses
152,Q169,"Whenever science and religion conflict,  religion is always right",,"Whenever science and religion conflict,  religion is always right","Please tell us if you strongly agree, agree, disagree, or strongly disagree with the 
following statements: Whenever science and religion conflict, religion is always right","['1.- Strongly agree', '2.- Agree', '3.- Disagree', '4.- Strongly disagree', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
153,Q170,The only acceptable religion  is my religion,,The only acceptable religion  is my religion,"Please tell us if you strongly agree, agree, disagree, or strongly disagree with the 
following statements: The only acceptable religion is my religion","['1.- Strongly agree', '2.- Agree', '3.- Disagree', '4.- Strongly disagree', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
154,Q171,How often do you attend religious services,,How often do you attend religious services,"Apart from weddings, funerals and christenings, about how often do you attend religious 
services these days?","['1.- More than once a week', '2.- Once a week', '3.- Once a month', '4.- Only on special holy days', '5.- Once a year', '6.- Less often', '7.- Never, practically never', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
155,Q173,Religious person,,Religious person,"Independently of whether you go to church or not, would you say you are…","['1.- A religious person', '2.- Not a religious person', '3.- An atheist', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
156,Q174,Meaning of religion: To follow religious norms and ceremonies vs To do good to,Meaning of religion,To follow religious norms and ceremonies vs To do good to other people,"With which one of the following statements do you agree most? The meaning of religion
is…","['1.- Follow religious norms and ceremonies', '2.- Do good to other people', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
157,Q175,Meaning of religion: To make sense of life after death vs To make sense of life in,Meaning of religion,To make sense of life after death vs To make sense of life in this world,"And with which of the following statements do you agree most? The meaning of religion
is…","['1.- Make sense of life after death', '2.- Make sense of life in this world', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
158,Q176,Degree of agreement: Nowadays one often has trouble deciding which moral rules,Degree of agreement,Nowadays one often has trouble deciding which moral rules are the right ones to follow,"How much do you agree or disagree with the statement that nowadays one often has
trouble deciding which moral rules are the right ones to follow?","['1.- Completely agree', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Completely disagree', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
159,Q177,Justifiable: Claiming government benefits to which you are not entitled,Justifiable,Claiming government benefits to which you are not entitled,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card. - Claiming 
government benefits to which you are not entitled","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
160,Q178,Justifiable: Avoiding a fare on public transport,Justifiable,Avoiding a fare on public transport,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  - Avoiding a fare 
on public transport","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
161,Q179,Justifiable: Stealing property,Justifiable,Stealing property,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Stealing property","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
162,Q180,Justifiable: Cheating on taxes,Justifiable,Cheating on taxes,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Cheating on taxes if you have a chance","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
163,Q181,Justifiable: Someone accepting a bribe in the course of their duties,Justifiable,Someone accepting a bribe in the course of their duties,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Someone accepting a bribe in the course of their duties","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
164,Q182,Justifiable: Homosexuality,Justifiable,Homosexuality,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Homosexuality","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
165,Q183,Justifiable: Prostitution,Justifiable,Prostitution,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Prostitution","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
166,Q184,Justifiable: Abortion,Justifiable,Abortion,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Abortion","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
167,Q185,Justifiable: Divorce,Justifiable,Divorce,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Divorce","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
168,Q186,Justifiable: Sex before marriage,Justifiable,Sex before marriage,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Sex before marriage","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
169,Q187,Justifiable: Suicide,Justifiable,Suicide,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Suicide","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
170,Q188,Justifiable: Euthanasia,Justifiable,Euthanasia,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Euthanasia","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
171,Q189,Justifiable: For a man to beat his wife,Justifiable,For a man to beat his wife,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
For a man to beat his wife","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
172,Q190,Justifiable: Parents beating children,Justifiable,Parents beating children,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Parents beating children","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
173,Q191,Justifiable: Violence against other people,Justifiable,Violence against other people,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Violence against other people","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
174,Q192,"Justifiable: Terrorism as a political, ideological or religious mean",Justifiable,"Terrorism as a political, ideological or religious mean","Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Terrorism as a political, ideological or religious mean","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
175,Q193,Justifiable: Having casual se x,Justifiable,Having casual se x,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card.  
Having casual sex","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
176,Q194,Justifiable: Political violence,Justifiable,Political violence,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card. Political violence","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
177,Q195,Justifiable: Death penalty,Justifiable,Death penalty,"Please tell me for each of the following statements whether you think it can always be 
justified, never be justified, or something in between, using this card. Death penalty","['1.- Never justifiable', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Always justifiable', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
178,Q196,Government has the right: Keep people under video surveillance in public areas,Government has the right,Keep people under video surveillance in public areas,"Do you think this country’s government should or should not have the right to do the 
following: Keep people under video surveillance in public areas","['1.- Definitely should have the right', '2.- Probably should have the right', '3.- Probably should not have the right', '4.- Definitely should not have the right', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
179,Q197,Government has the right: Monitor all e -mails and any other information,Government has the right,Monitor all e -mails and any other information exchanged on the Internet,"Do you think this country’s government should or should not have the right to do the
following: Monitor all emails and any other information exchanged on the Internet","['1.- Definitely should have the right', '2.- Probably should have the right', '3.- Probably should not have the right', '4.- Definitely should not have the right', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
180,Q198,Government has the right: Collect information about anyone living in this,Government has the right,Collect information about anyone living in this country  without their knowledge,"Do you think that this country’s government should or should not have the right to do
the following: Collect information about anyone living in this country without their 
knowledge","['1.- Definitely should have the right', '2.- Probably should have the right', '3.- Probably should not have the right', '4.- Definitely should not have the right', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
181,Q199,Interest in politics,,Interest in politics,How interested would you say you are in politics?,"['1.- Very interested', '2.- Somewhat interested', '3.- Not very interested', '4.- Not at all interested', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
182,Q200,How often discusses political matters with friends,,How often discusses political matters with friends,"When you get together with your friends, would you say you discuss political matters 
frequently, occasionally or never?","['1.- Frequently', '2.- Occasionally', '3.- Never', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Unknown']"
183,Q201,Information source: Daily newspaper,Information source,Daily newspaper,"People learn what is going on in this country and the world from various sources. For 
each of the following sources, please indicate whether you use it to obtain information 
daily, weekly, monthly, less than monthly or never: Daily newspaper","['1.- Daily', '2.- Weekly', '3.- Monthly', '4.- Less than monthly', '5.- Never', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
184,Q202,Information source: TV news,Information source,TV news,"People learn what is going on in this country and the world from various sources. For 
each of the following sources, please indicate whether you use it to obtain information 
daily, weekly, monthly, less than monthly or never: TV news","['1.- Daily', '2.- Weekly', '3.- Monthly', '4.- Less than monthly', '5.- Never', '-1-.- Don´t know', '-2-.- No answer', '-3-.- Not applicable', '-4-.- Not asked', '-5-.- Missing; Not available']"
185,Q203,Information source: Radio news,Information source,Radio news,"People learn what is going on in this country and the world from various sources. For 
each of the following sources, please indicate whether you use it to obtain information 
daily, weekly, monthly, less than monthly or never: Radio news","['1.- Daily', '2.- Weekly', '3.- Monthly', '4.- Less than monthly', '5.- Never', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
186,Q204,Information source: Mobile phone,Information source,Mobile phone,"People learn what is going on in this country and the world from various sources. For 
each of the following sources, please indicate whether you use it to obtain information 
daily, weekly, monthly, less than monthly or never: Mobile phone","['1.- Daily', '2.- Weekly', '3.- Monthly', '4.- Less than monthly', '5.- Never', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
187,Q205,Information source: Email,Information source,Email,"People learn what is going on in this country and the world from various sources. For 
each of the following sources, please indicate whether you use it to obtain information 
daily, weekly, monthly, less than monthly or never: Email","['1.- Daily', '2.- Weekly', '3.- Monthly', '4.- Less than monthly', '5.- Never', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
188,Q206,Information source: Internet,Information source,Internet,"People learn what is going on in this country and the world from various sources. For 
each of the following sources, please indicate whether you use it to obtain information 
daily, weekly, monthly, less than monthly or never: Internet","['1.- Daily', '2.- Weekly', '3.- Monthly', '4.- Less than monthly', '5.- Never', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
189,Q207,"Information source: Social media (Facebook, Twitter, etc.)",Information source,"Social media (Facebook, Twitter, etc.)","People learn what is going on in this country and the world from various sources. For 
each of the following sources, please indicate whether you use it to obtain information 
daily, weekly, monthly, less than monthly or never: Social media (Facebook, Twitter, 
etc.)","['1.- Daily', '2.- Weekly', '3.- Monthly', '4.- Less than monthly', '5.- Never', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
190,Q208,Information source: Talk with friends or colleagues,Information source,Talk with friends or colleagues,"People learn what is going on in this country and the world from various sources. For 
each of the following sources, please indicate whether you use it to obtain information 
daily, weekly, monthly, less than monthly or never: Talk with friends or colleagues","['1.- Daily', '2.- Weekly', '3.- Monthly', '4.- Less than monthly', '5.- Never', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
191,Q209,Political action: Signing a petition,Political action,Signing a petition,"Now I'd like you to look at this card. I'm going to read out some different forms of 
political action that people can take, and I'd like you to tell me, for each one, whether 
you have actually done any of these things, whether you might do it or would never, 
under any circumstances, do it. Signing a petition","['1.- Have done', '2.- Might do', '3.- Would never do', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked in survey', '-5-.- Missing; Not available']"
192,Q210,Political action: joining in boycotts,Political action,joining in boycotts,"Now I'd like you to look at this card. I'm going to read out some different forms of 
political action that people can take, and I'd like you to tell me, for each one, whether 
you have actually done any of these things, whether you might do it or would never, 
under any circumstances, do it. Joining in boycotts","['1.- Have done', '2.- Might do', '3.- Would never do', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
193,Q211,Political action: attending lawful/peaceful demonstrations,Political action,attending lawful/peaceful demonstrations,"Now I'd like you to look at this card. I'm going to read out some different forms of 
political action that people can take, and I'd like you to tell me, for each one, whether 
you have actually done any of these things, whether you might do it or would never, 
under any circumstances, do it. Attending peaceful demonstrations","['1.- Have done', '2.- Might do', '3.- Would never do', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
194,Q212,Political action: joining unofficial strikes,Political action,joining unofficial strikes,"Now I'd like you to look at this card. I'm going to read out some different forms of 
political action that people can take, and I'd like you to tell me, for each one, whether 
you have actually done any of these things, whether you might do it or would never, 
under any circumstances, do it. Joining strikes","['1.- Have done', '2.- Might do', '3.- Would never do', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Unknown']"
195,Q213,Social activism: Donating to a group or campaign,Social activism,Donating to a group or campaign,"What about these forms of political action and social activism that people can take?. 
Please, tell me for each of them if you have done any of these things, whether you might 
do it or would never under any circumstances do it:  
Donating to a group or campaign","['1.- Have done', '2.- Might do', '3.- Would never do', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
196,Q214,Social activism: Contacting a government official,Social activism,Contacting a government official,"What about these forms of political action and social activism that people can take?. 
Please, tell me for each of them if you have done any of these things, whether you might 
do it or would never under any circumstances do it:  
Contacting a government official","['1.- Have done', '2.- Might do', '3.- Would never do', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
197,Q215,Social activism: Encouraging others to take action about political issues,Social activism,Encouraging others to take action about political issues,"What about these forms of political action and social activism that people can take?. 
Please, tell me for each of them if you have done any of these things, whether you might 
do it or would never under any circumstances do it:  
Encouraging others to take action about political issues","['1.- Have done', '2.- Might do', '3.- Would never do', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
198,Q216,Social activism: Encouraging others to vote,Social activism,Encouraging others to vote,"What about these forms of political action and social activism that people can take?. 
Please, tell me for each of them if you have done any of these things, whether you 
might do it or would never under any circumstances do it:  
Encouraging others to vote","['1.- Have done', '2.- Might do', '3.- Would never do', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
199,Q217,Political actions online: Searching information about politics and political events,Political actions online,Searching information about politics and political events,"Now I’d like you to look at this card. I’m going to read out some other forms of political 
action that people can take using Internet and social media tools like Facebook, Twitter 
etc., and I’d like you to tell me, for each one, whether you have done any of these things, 
whether you might  do it or would never under any circumstances do it:  
Searching information about politics and political events","['1.- Have done', '2.- Might do', '3.- Would never do', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- INAP: No internet/no social media']"
200,Q218,Political actions online: Signing an electronic petition,Political actions online,Signing an electronic petition,"Now I’d like you to look at this card. I’m going to read out some other forms of political 
action that people can take using Internet and social media tools like Facebook, Twitter 
etc., and I’d like you to tell me, for each one, whether you have done any of these things, 
whether you might do it or would never under any circumstances do it:  
Signing an electronic petition","['1.- Have done', '2.- Might do', '3.- Would never do', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- INAP: No internet/no social media']"
201,Q219,Political actions online: Encouraging other people to take any form of political,Political actions online,Encouraging other people to take any form of political action,"Now I’d like you to look at this card. I’m going to read out some other forms of political
action that people can take using Internet and social media tools like Facebook, Twitter 
etc., and I’d like you to tell me, for each one, whether you have done any of these things, 
whether you might do it or would never under any circumstances do  it: Encouraging 
other people to take any form of political action","['1.- Have done', '2.- Might do', '3.- Would never do', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- INAP: No internet/no social media']"
202,Q220,"Political actions online: Organizing political activities, events, protests",Political actions online,"Organizing political activities, events, protests","Now I’d like you to look at this card. I’m going to read out some other forms of political 
action that people can take using Internet and social media tools like Facebook, Twitter 
etc., and I’d like you to tell me, for each one, whether you have done any o f these things, 
whether you might do it or would never under any circumstances do it:  
Organizing political activities, events, protests","['1.- Have done', '2.- Might do', '3.- Would never do', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- INAP: No internet/no social media']"
203,Q221,Vote in elections: local level,Vote in elections,local level,Vote in elections: Local level,"['1.- Always', '2.- Usually', '3.- Never', '4.- Not allowed to vote', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Unknown']"
204,Q222,Vote in elections: National level,Vote in elections,National level,Vote in elections: National level,"['1.- Always', '2.- Usually', '3.- Never', '4.- Not allowed to vote', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
205,Q224,How often in country´s elections: Votes are counted fairly,How often in country´s elections,Votes are counted fairly,"In your view, how often do the following things occur in this country’s elections? Votes 
are counted fairly","['1.- Very often', '2.- Fairly often', '3.- Not often', '4.- Not at all often', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
206,Q225,How often in country´s elections: Opposition candidates are prevented from,How often in country´s elections,Opposition candidates are prevented from running,"In your view, how often do the following things occur in this country’s elections?
Opposition candidates are prevented from running","['1.- Very often', '2.- Fairly often', '3.- Not often', '4.- Not at all often', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing;Unknown']"
207,Q226,How often in country´s elections: TV news favors the governing party,How often in country´s elections,TV news favors the governing party,"In your view, how often do the following things occur in this country’s elections? TV 
news favors the governing party","['1.- Very often', '2.- Fairly often', '3.- Not often', '4.- Not at all often', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
208,Q227,How often in country´s elections: Voters are bribed,How often in country´s elections,Voters are bribed,"In your view, how often do the following things occur in this country’s elections? Voters 
are bribed","['1.- Very often', '2.- Fairly often', '3.- Not often', '4.- Not at all often', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
209,Q228,How often in country´s elections: Journalists provide fair coverage of elections,How often in country´s elections,Journalists provide fair coverage of elections,"In your view, how often do the following things occur in this country’s elections? 
Journalists provide fair coverage of elections","['1.- Very often', '2.- Fairly often', '3.- Not often', '4.- Not at all often', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing;Unknown']"
210,Q229,How often in country´s elections: Election officials are fai r,How often in country´s elections,Election officials are fai r,"In your view, how often do the following things occur in this country’s elections? 
Election officials are fair","['1.- Very often', '2.- Fairly often', '3.- Not often', '4.- Not at all often', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
211,Q230,How often in country´s elections: Rich people buy elections,How often in country´s elections,Rich people buy elections,"In your view, how often do the following things occur in this country’s elections? Rich 
people buy elections","['1.- Very often', '2.- Fairly often', '3.- Not often', '4.- Not at all often', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing;Unknown']"
212,Q231,How often in country´s elections: Voters are threatened with  violence at the polls,How often in country´s elections,Voters are threatened with  violence at the polls,"In your view, how often do the following things occur in this country’s elections? 
Voters are threatened with violence at the polls","['1.- Very often', '2.- Fairly often', '3.- Not often', '4.- Not at all often', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
213,Q232,How often in country´s elections: Voters are offered a genuine choice in the,How often in country´s elections,Voters are offered a genuine choice in the elections,"In your view, how often do the following things occur in this country’s elections? Voters
are offered a genuine choice in the elections","['1.- Very often', '2.- Fairly often', '3.- Not often', '4.- Not at all often', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
214,Q233,How often in country´s elections: Women have equal opportunities to run the office,How often in country´s elections,Women have equal opportunities to run the office,"In your view, how often do the following things occur in this country’s elections?: 
Women have equal opportunities to run the office","['1.- Very often', '2.- Fairly often', '3.- Not often', '4.- Not at all often', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
215,Q235,Political system: Having a strong leader who does not have to bother with,Political system,Having a strong leader who does not have to bother with parliament and elections,"I'm going to describe various types of political systems and ask what you think about
each as a way of governing this country. For each one, would you say it is a very good, 
fairly good, fairly bad or very bad way of governing this country?  
Having a strong leader who does not have to bother with parliament and elections","['1.- Very good', '2.- Fairly good', '3.- Fairly b ad', '4.- Very bad', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
216,Q236,"Political system: Having experts, not government, make decisions according to",Political system,"Having experts, not government, make decisions according to what they think is best for the country","I'm going to describe various types of political systems and ask what you think about
each as a way of governing this country. For each one, would you say it is a very good, 
fairly good, fairly bad or very bad way of governing this country?  
Having experts, not government, make decisions according to what they think is best for 
the country","['1.- Very good', '2.- Fairly good', '3.- Fairly bad', '4.- Very bad', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
217,Q237,Political system: Having the army rule,Political system,Having the army rule,"I'm going to describe various types of political systems and ask what you think about 
each as a way of governing this country. For each one, would you say it is a very good, 
fairly good, fairly bad or very bad way of governing this country?  
Having the army rule","['1.- Very good', '2.- Fairly good', '3.- Fairly bad', '4.- Very bad', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
218,Q238,Political system: Having a democratic political system,Political system,Having a democratic political system,"I'm going to describe various types of political systems and ask what you think about 
each as a way of governing this country. For each one, would you say it is a very good, 
fairly good, fairly bad or very bad way of governing this country?  
Having a democratic political system","['1.- Very good', '2.- Fairly good', '3.- Fairly bad', '4.- Very bad', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
219,Q239,Political system: Having a system governed by religious law in which there are no,Political system,Having a system governed by religious law in which there are no political parties or elections,"I'm going to describe various types of political systems and ask what you think about
each as a way of governing this country. For each one, would you say it is a very good, 
fairly good, fairly bad or very bad way of governing this country?  
Having a system governed by religious law in which there are no political parties or 
elections","['1.- Very good', '2.- Fairly good', '3.- Bad', '4.- Very bad', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
220,Q240,Left-right political scale,,Left-right political scale,"In political matters, people talk of ""the left"" and ""the right."" How would you place your 
views on this scale, generally speaking?","['1.- Left', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Right', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
221,Q241,Democracy: Governments tax the rich and subsidize the poor,Democracy,Governments tax the rich and subsidize the poor,"Please tell me for each of the following things how essential you think it is as a 
characteristic of democracy. Use this scale where 1 means “not at all an essential 
characteristic of democracy” and 10 means it definitely is “an essential characteristic 
of democracy. - Governments tax the rich and subsidize the poor","['0.- It is against democracy', '1.- Not an essential characteristic of democracy', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- An essential characteristic of democracy', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
